timestamp,src_ip,dst_ip,dst_port,protocol,flag,tipo_ataque
2025-04-14 09:33:38,192.168.0.10,224.0.0.251,5353,UDP,N/A,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:39,192.168.0.10,224.0.0.251,5353,UDP,N/A,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:41,149.154.167.220,192.168.0.13,52895,TCP,FA,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:42,149.154.167.220,192.168.0.13,52898,TCP,FA,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:44,149.154.167.220,192.168.0.13,52899,TCP,SA,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:45,149.154.167.220,192.168.0.13,52899,TCP,A,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:47,149.154.167.220,192.168.0.13,52911,TCP,FA,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:48,149.154.167.220,192.168.0.13,52909,TCP,FA,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:49,149.154.167.220,192.168.0.13,52912,TCP,SA,Conexión no permitida (Clasificación_ML)
2025-04-14 09:33:51,149.154.167.220,192.168.0.13,52912,TCP,A,Conexión no permitida (Clasificación_ML)
2025-04-22 14:44:37,192.168.0.8,192.168.0.23,2777,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:44:39,192.168.0.8,192.168.0.23,2800,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:44:40,192.168.0.8,192.168.0.23,4805,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:44:42,192.168.0.8,192.168.0.23,4845,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:44:44,192.168.0.8,192.168.0.23,4888,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:44:45,192.168.0.8,192.168.0.23,7445,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:44:47,192.168.0.8,192.168.0.23,7476,TCP/UDP,N/A,Port Scan (Clasificación_ML)
